mezcla,politica,run,app,ipc,nucleos
4,3,3,nab_r,1.8828143006050782,1479
0,0,1,gamess,3.5460446457261336,0,98.6
0,0,1,gobmk,1.5016585340396813,0,105.0
0,0,1,zeusmp,1.4880729069222973,0,108.2
0,0,1,mcf_r,0.8877054343063118,0,187.0
0,0,1,lbm,1.3675871100488808,0,181.8
0,0,1,lbmREPEAT,1.367337463690117,0,181.8
0,0,1,deepsjeng_r,1.9222487941160666,0,117.8
0,0,1,nab_r,1.5605923583943484,0,145.0
0,0,1,,3.5403402777537227,0,88.2
0,0,1,REPEAT,1.4927481155737592,691,282.2
0,0,2,gamess,3.542941234100653,0,98.6
0,0,2,gobmk,1.5020113755849624,0,105.0
0,0,2,zeusmp,1.476167399210413,0,109.2
0,0,2,mcf_r,0.8875677400266948,0,187.0
0,0,2,lbm,1.3675286418402486,0,181.8
0,0,2,lbmREPEAT,1.3673297947565666,0,181.8
0,0,2,deepsjeng_r,1.9229999925790109,0,117.6
0,0,2,nab_r,1.5622269561623219,0,144.8
0,0,2,,3.5381164939657612,0,88.2
0,0,2,REPEAT,1.4729088253658191,693,281.6
0,1,1,xalancbmk,1.8100973873635187,0,118.0
0,1,1,bzip2,1.7020443085972277,0,128.6
0,1,1,mcf_r,0.9173130744324172,0,181.0
0,1,1,hmmer,1.581317402351944,0,101.4
0,1,1,GemsFDTD,1.8420210646723298,0,195.2
0,1,1,tonto,1.5182995483707427,0,204.4
0,1,1,libquantum,2.8248850744433076,0,199.0
0,1,1,imagick_r,3.471838709814807,0,65.2
0,1,1,,1.817363843472459,1,139.0
0,1,1,REPEAT,1.8139342207722886,864,303.0
0,1,2,xalancbmk,1.8125415094275281,0,117.8
0,1,2,bzip2,1.7003315376965296,0,128.8
0,1,2,mcf_r,0.8874984007333109,0,187.0
0,1,2,hmmer,1.5808606992144663,0,101.6
0,1,2,GemsFDTD,1.8425164004646089,0,195.2
0,1,2,tonto,1.520970636223669,0,204.0
0,1,2,libquantum,2.825584910991986,0,199.0
0,1,2,imagick_r,3.3670241154179177,0,67.2
0,1,2,,1.8123300331060104,1,136.6
0,1,2,REPEAT,1.8070292516218245,862,294.4
0,2,1,gamess,3.5392447651051504,0,99.2
0,2,1,leslie3d,3.3627482945663663,0,101.8
0,2,1,milc,1.3531494273167477,0,91.8
0,2,1,lbm_r,2.2800633050752226,0,72.8
0,2,1,mcf,0.5037135285514208,0,288.8
0,2,1,sphinx3,1.4155242451647772,0,207.4
0,2,1,namd,1.5751951627726901,0,220.4
0,2,1,namdREPEAT,1.5761862219347036,0,220.2
0,2,1,,3.5334046202347387,0,215.8
0,2,1,REPEAT,2.0376973941100425,813,791.8
0,2,2,gamess,3.538616349389224,0,99.2
0,2,2,leslie3d,3.37057864606207,0,101.6
0,2,2,milc,1.146241662890689,0,108.4
0,2,2,lbm_r,2.2928508766456077,0,72.4
0,2,2,mcf,0.5203270870830338,0,279.6
0,2,2,sphinx3,1.4247872629614726,0,206.0
0,2,2,namd,1.5758917070194316,0,220.2
0,2,2,namdREPEAT,1.577361949336378,0,220.0
0,2,2,,3.5314831996986635,0,207.0
0,2,2,REPEAT,2.02856887532148,735,722.0
0,3,1,astar,1.2496829759504973,0,116.2
0,3,1,mcf_r,0.899140116234025,1,264.2
0,3,1,hmmer,1.5795494676363124,0,101.6
0,3,1,leela_r,1.5509425669253065,0,107.0
0,3,1,sjeng,1.6960074120326483,0,155.2
